id,refseq,gene,chrom,start,end
1,K06903,K06903,,,
6,K06907,K06907,,,
7,K06908,K06908,,,
10,K06906,K06906,,,
11,K06905,K06905,,,
13,K14170,K14170,,,
14,K05809,K05809,,,
15,K05807,K05807,,,
16,K06180,K06180,,,
17,K05810,K05810,,,
18,K03695,K03695,,,
24,K03761,K03761,,,
25,K05811,K05811,,,
26,K00998,K00998,,,
27,K09181,K09181,,,
28,K05812,K05812,,,
29,K03672,K03672,,,
30,K03214,K03214,,,
31,K03648,K03648,,,
32,K06866,K06866,,,
33,K05590,K05590,,,
34,K15460,K15460,,,
35,K00278,K00278,,,
36,K03088,K03088,,,
37,K03597,K03597,,,
38,K03598,K03598,,,
39,K03803,K03803,,,
49,K07497,K07497,,,
53,K02406,K02406,,,
54,K07496,K07496,,,
55,K03596,K03596,,,
56,K03100,K03100,,,
57,K03685,K03685,,,
58,K03595,K03595,,,
59,K03584,K03584,,,
60,K03474,K03474,,,
61,K00997,K00997,,,
64,K07106,K07106,,,
65,K02809,K02809,,,
65,K02810,K02810,,,
66,K18697,K18697,,,
67,K11991,K11991,,,
68,K18691,K18691,,,
69,K01952,K01952,,,
70,K07711,K07711,,,
72,K07715,K07715,,,
73,K04751,K04751,,,
74,K05916,K05916,,,
76,K00600,K00600,,,
77,K15977,K15977,,,
78,K05820,K05820,,,
82,K01092,K01092,,,
83,K15396,K15396,,,
84,K13643,K13643,,,
85,K04487,K04487,,,
86,K04488,K04488,,,
87,K13628,K13628,,,
88,K04082,K04082,,,
89,K04044,K04044,,,
90,K04755,K04755,,,
92,K07751,K07751,,,
95,K01011,K01011,,,
96,K01232,K01232,,,
97,K02790,K02790,,,
97,K02791,K02791,,,
98,K06894,K06894,,,
99,K05367,K05367,,,
100,K07306,K07306,,,
101,K07307,K07307,,,
102,K07308,K07308,,,
104,K00940,K00940,,,
105,K06941,K06941,,,
106,K15539,K15539,,,
107,K03526,K03526,,,
108,K01892,K01892,,,
110,K17713,K17713,,,
111,K03977,K03977,,,
112,K03305,K03305,,,
117,K03601,K03601,,,
118,K00088,K00088,,,
119,K01951,K01951,,,
120,K05804,K05804,,,
121,K19586,K19586,,,
122,K19585,K19585,,,
123,K19587,K19587,,,
130,K01524,K01524,,,
131,K00937,K00937,,,
132,K11175,K11175,,,
133,K01933,K01933,,,
134,K01223,K01223,,,
135,K00761,K00761,,,
136,K02824,K02824,,,
137,K10763,K10763,,,
138,K01255,K01255,,,
140,K02761,K02761,,,
142,K00537,K00537,,,
144,K03548,K03548,,,
145,K03564,K03564,,,
146,K03567,K03567,,,
147,K01714,K01714,,,
148,K07287,K07287,,,
149,K01923,K01923,,,
150,K07054,K07054,,,
151,K06957,K06957,,,
152,K06999,K06999,,,
154,K01439,K01439,,,
156,K18324,K18324,,,
157,K07674,K07674,,,
160,K12945,K12945,,,
162,K03931,K03931,,,
165,K12112,K12112,,,
166,K12111,K12111,,,
167,K12113,K12113,,,
168,K06878,K06878,,,
169,K00615,K00615,,,
170,K00616,K00616,,,
171,K00029,K00029,,,
172,K00228,K00228,,,
173,K01448,K01448,,,
177,K07223,K07223,,,
178,K02048,K02048,,,
179,K02046,K02046,,,
180,K02047,K02047,,,
181,K02045,K02045,,,
182,K12339,K12339,,,
183,K00868,K00868,,,
184,K02777,K02777,,,
185,K08483,K08483,,,
186,K02784,K02784,,,
187,K01738,K01738,,,
188,K06203,K06203,,,
189,K03528,K03528,,,
190,K01972,K01972,,,
191,K09954,K09954,,,
192,K14347,K14347,,,
199,K01885,K01885,,,
205,K11535,K11535,,,
206,K03322,K03322,,,
208,K19265,K19265,,,
209,K04103,K04103,,,
211,K00845,K00845,,,
212,K02477,K02477,,,
213,K02478,K02478,,,
214,K14261,K14261,,,
216,K12974,K12974,,,
217,K13069,K13069,,,
220,K04754,K04754,,,
221,K06076,K06076,,,
223,K00632,K00632,,,
224,K01782,K01782,,,
225,K08296,K08296,,,
227,K07320,K07320,,,
228,K01736,K01736,,,
229,K07261,K07261,,,
230,K07090,K07090,,,
231,K09906,K09906,,,
233,K15461,K15461,,,
234,K00647,K00647,,,
237,K03473,K03473,,,
239,K06173,K06173,,,
240,K03975,K03975,,,
241,K01963,K01963,,,
242,K11754,K11754,,,
243,K03749,K03749,,,
244,K03558,K03558,,,
245,K00764,K00764,,,
246,K03186,K03186,,,
247,K10013,K10013,,,
248,K10014,K10014,,,
249,K10016,K10016,,,
250,K10015,K10015,,,
251,K10017,K10017,,,
253,K07071,K07071,,,
254,K07589,K07589,,,
255,K11209,K11209,,,
257,K07095,K07095,,,
260,K02821,K02821,,,
261,K02822,K02822,,,
262,K03475,K03475,,,
265,K13788,K13788,,,
266,K00925,K00925,,,
267,K09899,K09899,,,
268,K09161,K09161,,,
269,K19270,K19270,,,
271,K08722,K08722,,,
272,K14260,K14260,,,
274,K00330,K00330,,,
275,K00331,K00331,,,
276,K13378,K13378,,,
277,K00334,K00334,,,
278,K00335,K00335,,,
279,K00336,K00336,,,
280,K00337,K00337,,,
281,K00338,K00338,,,
282,K00339,K00339,,,
283,K00340,K00340,,,
284,K00341,K00341,,,
285,K00342,K00342,,,
286,K00343,K00343,,,
287,K03415,K03415,,,
288,K00784,K00784,,,
289,K02348,K02348,,,
290,K05594,K05594,,,
291,K02552,K02552,,,
292,K02551,K02551,,,
293,K08680,K08680,,,
294,K01661,K01661,,,
295,K02549,K02549,,,
296,K01911,K01911,,,
297,K07793,K07793,,,
298,K07794,K07794,,,
299,K07795,K07795,,,
300,K07774,K07774,,,
301,K07649,K07649,,,
304,K00113,K00113,,,
305,K00112,K00112,,,
306,K00111,K00111,,,
307,K02445,K02445,,,
308,K01126,K01126,,,
309,K11107,K11107,,,
310,K00526,K00526,,,
311,K00525,K00525,,,
312,K00568,K00568,,,
313,K02469,K02469,,,
314,K07677,K07677,,,
315,K07687,K07687,,,
316,K07676,K07676,,,
317,K07480,K07480,,,
318,K09475,K09475,,,
319,K03734,K03734,,,
320,K10778,K10778,,,
321,K03919,K03919,,,
322,K06159,K06159,,,
323,K06213,K06213,,,
324,K03321,K03321,,,
325,K00116,K00116,,,
326,K08276,K08276,,,
329,K07014,K07014,,,
330,K09904,K09904,,,
331,K06899,K06899,,,
332,K02897,K02897,,,
333,K17677,K17677,,,
334,K06183,K06183,,,
335,K07552,K07552,,,
337,K13896,K13896,,,
338,K13895,K13895,,,
339,K13894,K13894,,,
340,K13893,K13893,,,
342,K13694,K13694,,,
346,K01686,K01686,,,
347,K02356,K02356,,,
348,K06940,K06940,,,
349,K03291,K03291,,,
351,K00882,K00882,,,
352,K02769,K02769,,,
352,K02770,K02770,,,
353,K01151,K01151,,,
356,K11733,K11733,,,
357,K16089,K16089,,,
358,K01070,K01070,,,
360,K01495,K01495,,,
361,K07148,K07148,,,
362,K02529,K02529,,,
363,K10540,K10540,,,
364,K10542,K10542,,,
365,K10541,K10541,,,
366,K03748,K03748,,,
367,K01489,K01489,,,
369,K06518,K06518,,,
370,K05541,K05541,,,
375,K07262,K07262,,,
376,K03823,K03823,,,
377,K03777,K03777,,,
378,K05349,K05349,,,
379,K05845,K05845,,,
380,K05846,K05846,,,
381,K05847,K05847,,,
387,K01874,K01874,,,
388,K03593,K03593,,,
391,K01991,K01991,,,
392,K01104,K01104,,,
393,K16692,K16692,,,
394,K13745,K13745,,,
395,K00836,K00836,,,
398,K00878,K00878,,,
399,K00941,K00941,,,
404,K11645,K11645,,,
407,K00039,K00039,,,
408,K03435,K03435,,,
410,K00007,K00007,,,
411,K00854,K00854,,,
415,K02035,K02035,,,
416,K02033,K02033,,,
417,K02034,K02034,,,
418,K02031,K02031,,,
419,K02032,K02032,,,
459,K08303,K08303,,,
461,K07664,K07664,,,
462,K07642,K07642,,,
463,K18326,K18326,,,
464,K07789,K07789,,,
465,K07788,K07788,,,
466,K07799,K07799,,,
467,K04046,K04046,,,
468,K01247,K01247,,,
470,K00876,K00876,,,
471,K01494,K01494,,,
472,K07289,K07289,,,
478,K03819,K03819,,,
479,K13684,K13684,,,
480,K13620,K13620,,,
